RO_PHYSICAL_FINGERPRINT_V2
SUMMARY	ro_luts=128	ro_nets=128	endpoint_cells=136
CELL	u_puf/ring0[4].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X2Y57	SLICEM.B6LUT	I0:B2,I1:B1,I2:B3,I3:B4,I4:B5,I5:B6
CELL	u_puf/ring0[4].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X2Y57	SLICEM.C6LUT	I0:C2,I1:C1,I2:C3,I3:C4,I4:C5,I5:C6
CELL	u_puf/ring0[4].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X2Y57	SLICEM.D6LUT	I0:D1,I1:D3,I2:D2,I3:D4,I4:D5,I5:D6
CELL	u_puf/ring0[5].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X2Y56	SLICEM.A6LUT	I0:A1,I1:A2,I2:A3,I3:A4,I4:A5,I5:A6
CELL	u_puf/ring0[5].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X2Y56	SLICEM.B6LUT	I0:B2,I1:B1,I2:B3,I3:B4,I4:B5,I5:B6
CELL	u_puf/ring0[5].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X2Y56	SLICEM.C6LUT	I0:C2,I1:C1,I2:C3,I3:C4,I4:C5,I5:C6
CELL	u_puf/ring0[5].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X2Y56	SLICEM.D6LUT	I0:D2,I1:D3,I2:D1,I3:D4,I4:D5,I5:D6
CELL	u_puf/ring0[6].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X6Y56	SLICEM.A6LUT	I0:A1,I1:A2,I2:A3,I3:A4,I4:A5,I5:A6
CELL	u_puf/ring0[6].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X6Y56	SLICEM.B6LUT	I0:B2,I1:B1,I2:B3,I3:B4,I4:B5,I5:B6
CELL	u_puf/ring0[6].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X6Y56	SLICEM.C6LUT	I0:C2,I1:C1,I2:C3,I3:C4,I4:C5,I5:C6
CELL	u_puf/ring0[6].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X6Y56	SLICEM.D6LUT	I0:D1,I1:D3,I2:D2,I3:D4,I4:D5,I5:D6
CELL	u_puf/ring0[7].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X1Y63	SLICEL.C6LUT	I0:C1,I1:C2,I2:C3,I3:C4,I4:C5,I5:C6
CELL	u_puf/ring0[7].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X1Y63	SLICEL.D6LUT	I0:D1,I1:D2,I2:D3,I3:D4,I4:D5,I5:D6
CELL	u_puf/ring0[7].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X1Y62	SLICEL.C6LUT	I0:C2,I1:C1,I2:C3,I3:C4,I4:C5,I5:C6
CELL	u_puf/ring0[7].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X1Y62	SLICEL.D6LUT	I0:D2,I1:D3,I2:D1,I3:D4,I4:D5,I5:D6
CELL	u_puf/ring0[8].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X2Y58	SLICEM.A6LUT	I0:A1,I1:A2,I2:A3,I3:A4,I4:A5,I5:A6
CELL	u_puf/ring0[8].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X2Y58	SLICEM.B6LUT	I0:B2,I1:B1,I2:B3,I3:B4,I4:B5,I5:B6
CELL	u_puf/ring0[8].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X2Y58	SLICEM.C6LUT	I0:C2,I1:C1,I2:C3,I3:C4,I4:C5,I5:C6
CELL	u_puf/ring0[8].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X2Y58	SLICEM.D6LUT	I0:D2,I1:D3,I2:D1,I3:D4,I4:D5,I5:D6
CELL	u_puf/ring0[9].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X5Y57	SLICEL.A6LUT	I0:A1,I1:A2,I2:A3,I3:A4,I4:A5,I5:A6
CELL	u_puf/ring0[9].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X5Y57	SLICEL.B6LUT	I0:B1,I1:B2,I2:B3,I3:B4,I4:B5,I5:B6
